City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,hofn,64.2539,-15.2082,8.01,93,100,10.29,IS,1680547227
253,jalpan,21.2333,-99.4833,36.85,28,100,3.58,MX,1680547228
254,mareeba,-17.0,145.4333,21.91,95,90,0.79,AU,1680547228
255,hit,33.6416,42.8251,20.44,39,4,1.47,IQ,1680547229
256,la ronge,55.1001,-105.2842,-8.88,37,40,3.6,CA,1680547209
257,faanui,-16.4833,-151.75,27.71,70,32,2.25,PF,1680547127
258,fort nelson,58.8053,-122.7002,-0.59,55,75,5.14,CA,1680547094
259,tartagal,-22.5164,-63.8013,33.66,34,43,3.42,AR,1680547230
260,sioux lookout,50.1001,-91.917,-4.96,58,20,4.12,CA,1680547230
261,honningsvag,70.9821,25.9704,-0.14,69,40,7.2,NO,1680547231
262,hambantota,6.1241,81.1185,26.19,100,40,1.54,LK,1680547231
263,manzanillo,20.3433,-77.1167,32.83,37,7,5.21,CU,1680547232
264,hamilton,39.1834,-84.5333,20.12,65,75,5.66,US,1680547017
265,shimoda,34.6667,138.95,10.47,65,0,4.54,JP,1680547233
266,divo,5.8397,-5.36,25.78,78,35,1.35,CI,1680547233
267,kurdzhinovo,43.9884,40.9552,7.24,91,21,1.14,RU,1680547233
268,nemuro,43.3236,145.575,0.91,59,0,3.05,JP,1680547196
269,pallasovka,50.05,46.8833,12.96,65,100,4.08,RU,1680547234
270,praia da vitoria,38.7333,-27.0667,17.14,72,40,2.85,PT,1680546875
271,lekoni,-1.5843,14.2591,25.47,75,76,2.99,GA,1680547235
272,tura,25.5198,90.2201,20.74,70,91,2.43,IN,1680547235
273,turochak,52.2576,87.1224,-7.48,96,36,1.09,RU,1680547235
274,kotelnikovo,47.6317,43.1461,10.04,87,22,4.73,RU,1680547235
275,chuy,-33.6971,-53.4616,18.93,69,100,0.9,UY,1680547056
276,pitimbu,-7.4706,-34.8086,30.33,73,21,6.35,BR,1680547236
277,oistins,13.0667,-59.5333,30.05,58,20,8.23,BB,1680547237
278,baykit,61.67,96.37,-9.55,95,75,2.02,RU,1680547237
279,shirvan,39.9509,48.8994,10.52,79,21,3.03,AZ,1680547237
280,kruisfontein,-34.0033,24.7314,18.27,86,100,6.14,ZA,1680547237
281,eldorado,-23.7869,-54.2836,27.73,65,34,0.92,BR,1680547238
282,kikwit,-5.041,18.8162,22.61,88,100,0.48,CD,1680547238
283,boca do acre,-8.7522,-67.3978,30.9,55,55,2.16,BR,1680547238
284,marshall,34.3834,-86.3333,16.84,88,100,2.57,US,1680547083
285,carutapera,-1.195,-46.02,23.05,97,100,1.53,BR,1680547239
286,abha,18.2164,42.5053,16.9,82,0,3.09,SA,1680547239
287,srednekolymsk,67.45,153.6833,-26.18,97,99,1.7,RU,1680547239
288,oktyabrskiy,54.4815,53.471,5.48,79,92,1.72,RU,1680547240
289,tuatapere,-46.1333,167.6833,9.72,91,60,1.86,NZ,1680546978
290,celestun,20.8667,-90.4,31.55,54,56,2.94,MX,1680547240
291,buraydah,26.326,43.975,21.25,14,0,4.03,SA,1680547241
292,rumphi,-11.0186,33.8575,17.51,97,23,1.4,MW,1680547241
293,bratsk,56.1325,101.6142,-4.73,85,100,5.69,RU,1680546968
294,banjar,-8.19,114.9675,24.54,90,100,1.37,ID,1680547242
295,kang,-23.6752,22.7876,22.17,48,50,2.52,BW,1680547242
296,college,64.8569,-147.8028,-6.34,80,79,1.38,US,1680547002
297,comodoro rivadavia,-45.8667,-67.5,20.92,26,0,8.75,AR,1680547046
298,taoudenni,22.6783,-3.9836,31.93,5,0,0.76,ML,1680547243
299,acapulco,16.8634,-99.8901,29.9,58,40,2.06,MX,1680547003
300,grand-lahou,5.1367,-5.0242,27.3,82,39,3.9,CI,1680547243
301,parit raja,1.8681,103.1124,25.56,94,96,1.13,MY,1680547244
302,nanortalik,60.1432,-45.2371,2.7,86,100,1.69,GL,1680547244
303,charleston,32.7766,-79.9309,23.1,75,0,6.69,US,1680547016
304,aksha,50.2814,113.2867,-8.5,44,0,2.21,RU,1680547245
305,abnub,27.2696,31.1511,26.12,10,0,1.92,EG,1680547245
306,rio gallegos,-51.6226,-69.2181,21.03,24,75,10.8,AR,1680547087
307,kloulklubed,7.0419,134.2556,24.28,76,41,3.97,PW,1680547246
308,beyneu,45.3167,55.2,11.0,63,88,2.29,KZ,1680547246
309,tsiroanomandidy,-18.7667,46.0333,19.51,95,86,0.45,MG,1680547246
310,mayumba,-3.432,10.6554,26.62,80,100,2.95,GA,1680547247
